ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE
13204,13933,1091
14771,13964,412
13930,14006,342
13204,14025,1199
10397,14027,545
11057,14027,590
11292,14027,1679
11298,14027,1102
11618,14027,1023
12266,14027,956
12478,14027,1028
13930,14027,1144
10397,14057,2172
11057,14057,2282
11292,14057,991
11298,14057,1616
11618,14057,2434
12266,14057,1825
12478,14057,2454
12889,14057,763
12892,14057,834
13930,14057,1739
14107,14057,1009
14747,14057,129
14771,14057,550
13930,14082,1091
10397,14098,508
10397,14100,666
11057,14100,449
11292,14100,1558
11298,14100,1303
12266,14100,1325
12889,14100,2176
12892,14100,2402
13204,14100,861
13303,14100,1013
13930,14100,678
14107,14100,2075
14747,14100,2378
14771,14100,2521
10397,14107,1587
11057,14107,1773
11292,14107,602
11298,14107,868
11618,14107,2133
12266,14107,1009
12478,14107,2153
12889,14107,255
12892,14107,370
13204,14107,1849
13303,14107,1972
13930,14107,1440
14747,14107,1107
14771,14107,651
10397,14108,565
13930,14108,130
11298,14109,462
10397,14122,526
11057,14122,366
11292,14122,1290
11298,14122,1067
12266,14122,1117
12478,14122,340
12889,14122,1910
12892,14122,2136
13204,14122,834
13930,14122,413
14107,14122,1814
14771,14122,2254
13930,14129,1090
10397,14193,271
11298,14193,604
12266,14193,489
13930,14193,794
11292,14252,852
14747,14252,172
14771,14252,620
12478,14254,1617
13204,14254,1179
11292,14262,776
11298,14262,1126
12266,14262,1269
12478,14262,2378
12892,14262,110
13930,14262,1651
14107,14262,261
14747,14262,987
14771,14262,421
10397,14307,903
11057,14307,683
11618,14307,160
13204,14307,1072
13930,14307,849
10397,14321,1027
11057,14321,813
11618,14321,284
12478,14321,273
13930,14321,900
11292,14457,300
13930,14457,779
14771,14487,199
11292,14489,898
12892,14489,726
14107,14489,893
14771,14489,462
10397,14492,356
11057,14492,130
11292,14492,1436
11298,14492,1061
11618,14492,416
12266,14492,1042
12478,14492,427
12889,14492,2026
12892,14492,2238
13204,14492,534
13303,14492,700
13930,14492,646
14107,14492,1891
14747,14492,2354
14771,14492,2400
10397,14524,481
11057,14524,257
11292,14524,1482
11298,14524,1158
11618,14524,277
12266,14524,1157
13204,14524,667
13930,14524,642
11292,14543,260
10397,14570,1993
11292,14570,804
11298,14570,1345
12478,14570,2411
12889,14570,345
12892,14570,391
13930,14570,1671
14107,14570,601
14771,14570,192
10397,14574,357
13930,14574,531
10397,14576,749
11057,14576,573
11618,14576,246
12478,14576,264
13204,14576,1033
13930,14576,528
11298,14588,435
14107,14588,433
10397,14633,831
10397,14635,515
11057,14635,600
11292,14635,1607
11298,14635,1017
11618,14635,1068
12266,14635,861
12478,14635,1074
13930,14635,1120
11298,14674,551
14107,14674,370
10397,14679,1892
11057,14679,2077
11292,14679,853
11298,14679,1171
11618,14679,2425
12266,14679,1303
12478,14679,2446
12889,14679,258
12892,14679,109
13204,14679,2149
13303,14679,2267
13930,14679,1723
14107,14679,304
14747,14679,1050
14771,14679,447
10397,14683,874
11057,14683,1095
11292,14683,794
11298,14683,247
11618,14683,1569
12266,14683,191
12478,14683,1587
12889,14683,1069
12892,14683,1210
13204,14683,1041
13303,14683,1143
13930,14683,1041
14107,14683,843
14747,14683,1774
14771,14683,1482
10397,14685,214
11618,14685,708
12266,14685,851
12478,14685,718
13930,14685,773
11292,14689,916
12892,14689,89
14107,14689,455
14747,14689,908
14771,14689,262
10397,14696,566
11618,14696,637
13930,14696,84
12892,14698,156
14107,14698,509
14771,14698,190
13930,14711,528
10397,14730,321
11292,14730,1024
11298,14730,733
11618,14730,642
12266,14730,788
12889,14730,1624
13204,14730,719
13930,14730,286
14107,14730,1506
10397,14747,2182
11057,14747,2279
11292,14747,1024
11298,14747,1660
11618,14747,2402
12266,14747,1874
12478,14747,2422
12889,14747,867
12892,14747,954
13204,14747,2554
13303,14747,2724
13930,14747,1721
14107,14747,1107
14771,14747,679
10397,14771,2139
11057,14771,2296
11292,14771,967
11298,14771,1464
